"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78","Column 79","Column 80","Column 81","Column 82","Column 83","Column 84","Column 85"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126370/nate-staskelunas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","Nate Staskelunas","DB","6-3","207","SR","Greenville, NC"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3937863/torin-marks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","Torin Marks","DB","5-11","175","FR","Rosenberg, TX"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3892651/thomas-woods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","Thomas Woods","WR","5-6","165","JR","Birmingham, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126348/johnny-dwight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","Johnny Dwight","DL","6-3","306","SO","Rochelle, GA"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040717/donavan-mosley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","Donavan Mosley","DB","5-10","180","SO","SAN ANTONIO, TX"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3925356/jonathan-rice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","Jonathan Rice","WR","6-4","207","SO","Madison, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3925351/austin-johnson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","Austin Johnson","WR","6-2","200","SO","Elba, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3133440/levi-wallace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","Levi Wallace","DB","6-0","170","JR","Tucson, AZ"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3925353/joshua-mcmillon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","Joshua McMillon","LB","6-3","237","FR","Memphis, TN"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3925338/blaine-anderson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","Blaine Anderson","DB","5-10","187","SR","Charlotte, NC"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040710/parker-bearden","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","Parker Bearden","WR","6-1","201","SO","Bessemer, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126355/keith-holcombe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","Keith Holcombe","LB","6-4","227","SO","Tuscaloosa, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3892648/jacob-parker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","Jacob Parker","TE","6-1","222","JR","Meridianville, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3140758/lawrence-erekosima","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","Lawrence Erekosima","RB","5-7","180","JR","Simpsonville, SC"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/535741/dakota-ball","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","Dakota Ball","DL","6-3","268","SR","Lindale, GA"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040721/avery-reid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","Avery Reid","RB","6-0","192","SO","Oneonta, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3892646/hunter-bryant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","Hunter Bryant","TE","6-5","226","JR","Roswell, GA"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126351/bo-grant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","Bo Grant","DB","6-2","195","SR","Valley, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3940507/derrick-garnett","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","Derrick Garnett","LB","6-1","240","SR","Tuscaloosa, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3126362/christian-miller","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","Christian Miller","LB","6-4","230","SO","Columbia, SC"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/4040720/josh-pugh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","Josh Pugh","WR","6-1","208","SO","Chelsea, AL"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/3925341/mekhi-brown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","Mekhi Brown","LB","6-5","246","FR","Columbus, GA"
"","","11/2/2016 8:13:26 PM","http://www.espn.com/college-football/team/roster/_/id/333","http://www.espn.com/college-football/player/_/id/552877/vohn-keith","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","Vohn Keith","DL","6-2","221","JR","Mobile, AL"
